category,file,size_bytes,sha256
fixed-bypass corpus (withheld),A1_customapp_filter_winners.txt,235019,76c25636076b448d77949443fae35b606090182c5824371d94a17a7aed9d821a
fixed-bypass corpus (withheld),A1_customapp_login_winners.txt,80251,7c51c8fb8eb87a5407912dcfed85f1bb033d91aae34b5d9070a314ffbe401cda
fixed-bypass corpus (withheld),A1_customapp_product_winners.txt,226297,0d9cfbb21637980eb3b6e5650a929b6d3916a31fb06541d9055691079d13a8f7
fixed-bypass corpus (withheld),A1_customapp_search_winners.txt,247485,06ec8b9af114c2c0324bf9225d20048caad238724635860de2b0c5b2d1a6eabf
fixed-bypass corpus (withheld),A2_customxss_calc_winners.txt,64265,5ead9ce65e768f218acf95dcedfeb52b1f9ce2a8abd6ff8ad5ac594ab2eddcf4
fixed-bypass corpus (withheld),A2_customxss_search_winners.txt,78300,5c85a0bf3bf424a8b89a518480103418ffbcf83335d5501f0d82cb4ceef7b81c
external attack dataset after preprocessing (withheld),sqlmap_candidates.tsv,392648,98c0779a3ac4809235fa77ae6ec07e16abf9a0277a59a30ed983d33c63e56190
external attack dataset after preprocessing (withheld),csic_candidates.tsv,22472160,b5bb60cffff3b1f641b244ec335a3915078f6a4ec40ca18df32a0ac427522ee2
external attack dataset after preprocessing (withheld),dalfox_candidates.tsv,14237,a007d79cabf50a77e6d3b64ca04a4c782744dc5d4d541614bdb8851e49684d63
third-party benign after preprocessing (not redistributed),csic_normal_crs_baseline.csv,5513822,1ab87ba9ca661c0bd4fde03c7099fe12b18a6c8de23622b3364a54ab6ccf05a9
"third-party source dataset (raw, not redistributed)",SQLi.csv,19442734,aa54b6b4ab8c68d40354d06e078baac696e333f120e0259146ae0b101dbe17fc
"third-party source dataset (raw, not redistributed)",XSS.csv,7751573,576b0f37650830f542b6d441724a672a6d2ba9463a5c99524e8ae1f416f73cd6
"third-party source dataset (raw, not redistributed)",allsample.csv,39675778,22e27264c43d18adc6fbb643158815dfea8e35dc83db7daeedf918ada7cba72d
