run_id,experiment,family,strategy,context,seed,epsilon,model,attacker_model,config_version,prompt_version,config_hash,corpus_id,output_dir,start_ts,end_ts,status,code_commit
RQ1_SQLi_attack-baseline_login_epsna_seed1,RQ1,SQLi,attack-baseline,login,1,,openai/gpt-4.1-mini,openai/gpt-4.1-mini,v2,v2,eb3f4e0266aea19cac49559f32a6d8cab832c892dbd5ae670e208d22c5530d85,generated,results/V2/CustomApp_A1/CustomApp_A1_CRSonly_seed1,2026-08-03 15:24,2026-08-03 16:46,complete,n/a (code not under version control at run time; artifact release tag is the reference)
RQ1_SQLi_attack-baseline_search_epsna_seed1,RQ1,SQLi,attack-baseline,search,1,,openai/gpt-4.1-mini,openai/gpt-4.1-mini,v2,v2,eb3f4e0266aea19cac49559f32a6d8cab832c892dbd5ae670e208d22c5530d85,generated,results/V2/CustomApp_A1/CustomApp_A1_CRSonly_seed1,2026-08-03 15:24,2026-08-03 16:46,complete,n/a (code not under version control at run time; artifact release tag is the reference)
RQ1_SQLi_attack-baseline_product_epsna_seed1,RQ1,SQLi,attack-baseline,product,1,,openai/gpt-4.1-mini,openai/gpt-4.1-mini,v2,v2,eb3f4e0266aea19cac49559f32a6d8cab832c892dbd5ae670e208d22c5530d85,generated,results/V2/CustomApp_A1/CustomApp_A1_CRSonly_seed1,2026-08-03 15:24,2026-08-03 16:46,complete,n/a (code not under version control at run time; artifact release tag is the reference)
RQ1_SQLi_attack-baseline_filter_epsna_seed1,RQ1,SQLi,attack-baseline,filter,1,,openai/gpt-4.1-mini,openai/gpt-4.1-mini,v2,v2,eb3f4e0266aea19cac49559f32a6d8cab832c892dbd5ae670e208d22c5530d85,generated,results/V2/CustomApp_A1/CustomApp_A1_CRSonly_seed1,2026-08-03 15:24,2026-08-03 16:46,complete,n/a (code not under version control at run time; artifact release tag is the reference)
RQ1_SQLi_attack-baseline_login_epsna_seed2,RQ1,SQLi,attack-baseline,login,2,,openai/gpt-4.1-mini,openai/gpt-4.1-mini,v2,v2,eb3f4e0266aea19cac49559f32a6d8cab832c892dbd5ae670e208d22c5530d85,generated,results/V2/CustomApp_A1/CustomApp_A1_CRSonly_seed2,2026-08-03 17:02,2026-08-03 17:20,complete,n/a (code not under version control at run time; artifact release tag is the reference)
RQ1_SQLi_attack-baseline_search_epsna_seed2,RQ1,SQLi,attack-baseline,search,2,,openai/gpt-4.1-mini,openai/gpt-4.1-mini,v2,v2,eb3f4e0266aea19cac49559f32a6d8cab832c892dbd5ae670e208d22c5530d85,generated,results/V2/CustomApp_A1/CustomApp_A1_CRSonly_seed2,2026-08-03 17:02,2026-08-03 17:20,complete,n/a (code not under version control at run time; artifact release tag is the reference)
RQ1_SQLi_attack-baseline_product_epsna_seed2,RQ1,SQLi,attack-baseline,product,2,,openai/gpt-4.1-mini,openai/gpt-4.1-mini,v2,v2,eb3f4e0266aea19cac49559f32a6d8cab832c892dbd5ae670e208d22c5530d85,generated,results/V2/CustomApp_A1/CustomApp_A1_CRSonly_seed2,2026-08-03 17:02,2026-08-03 17:20,complete,n/a (code not under version control at run time; artifact release tag is the reference)
RQ1_SQLi_attack-baseline_filter_epsna_seed2,RQ1,SQLi,attack-baseline,filter,2,,openai/gpt-4.1-mini,openai/gpt-4.1-mini,v2,v2,eb3f4e0266aea19cac49559f32a6d8cab832c892dbd5ae670e208d22c5530d85,generated,results/V2/CustomApp_A1/CustomApp_A1_CRSonly_seed2,2026-08-03 17:02,2026-08-03 17:20,complete,n/a (code not under version control at run time; artifact release tag is the reference)
RQ1_SQLi_attack-baseline_login_epsna_seed3,RQ1,SQLi,attack-baseline,login,3,,openai/gpt-4.1-mini,openai/gpt-4.1-mini,v2,v2,eb3f4e0266aea19cac49559f32a6d8cab832c892dbd5ae670e208d22c5530d85,generated,results/V2/CustomApp_A1/CustomApp_A1_CRSonly_seed3,2026-08-03 17:22,2026-08-03 17:38,complete,n/a (code not under version control at run time; artifact release tag is the reference)
RQ1_SQLi_attack-baseline_search_epsna_seed3,RQ1,SQLi,attack-baseline,search,3,,openai/gpt-4.1-mini,openai/gpt-4.1-mini,v2,v2,eb3f4e0266aea19cac49559f32a6d8cab832c892dbd5ae670e208d22c5530d85,generated,results/V2/CustomApp_A1/CustomApp_A1_CRSonly_seed3,2026-08-03 17:22,2026-08-03 17:38,complete,n/a (code not under version control at run time; artifact release tag is the reference)
