family,context,strategy,regime,eps,seed,bypasses_B,accepted_rules,rules_per_100,defense_calls,attacker_calls,calls_per_rule,candidates,rejected,input_tokens,output_tokens,gen_time_s,rule_eval_time_s,wall_time_s,est_cost_usd
SQLi,login,PP-Static,static,0.3,1,300,119,39.6667,752,0,6.32,752,633,827157,90098,2076.9,634.63,2949.0,0.47502
SQLi,login,PP-Static,static,0.3,2,300,120,40.0,759,0,6.33,759,639,831383,87847,1971.0,675.99,2877.1,0.47311
SQLi,login,PP-Static,static,0.3,3,300,139,46.3333,716,0,5.15,716,577,779609,82601,1690.7,805.88,2705.6,0.44401
SQLi,login,PP-Static,static,0.3,4,300,105,35.0,741,0,7.06,741,636,976296,85898,2229.2,625.84,3090.5,0.52796
SQLi,login,PP-Static,static,0.3,5,300,94,31.3333,765,0,8.14,765,671,1010523,88720,2053.7,523.89,2819.2,0.54616
SQLi,login,PP-Static,static,0.3,6,300,93,31.0,761,0,8.18,761,668,1006017,89011,1846.3,522.24,2608.6,0.54482
SQLi,login,PP-Static,static,0.3,7,300,83,27.6667,773,0,9.31,773,690,1023233,91141,1749.1,476.04,2468.2,0.55512
SQLi,login,PP-Static,static,0.3,8,300,91,30.3333,760,0,8.35,760,669,1005160,89423,1689.7,525.53,2454.9,0.54514
SQLi,login,PP-Static,static,0.3,9,300,92,30.6667,765,0,8.32,765,673,1011041,89566,1894.8,550.39,2686.5,0.54772
SQLi,login,PP-Static,static,0.3,10,300,91,30.3333,759,0,8.34,759,668,1003044,88420,1880.6,551.76,2672.2,0.54269
SQLi,login,RG,static,0.3,1,300,3,1.0,138,0,46.0,138,135,159802,14866,265.7,52.62,362.8,0.08771
SQLi,login,RG,static,0.3,2,300,2,0.6667,43,0,21.5,43,41,50593,4652,78.1,19.34,113.0,0.02768
SQLi,login,RG,static,0.3,3,300,3,1.0,52,0,17.33,52,49,61353,5600,100.6,37.97,157.2,0.0335
SQLi,login,RG,static,0.3,4,300,2,0.6667,83,0,41.5,83,81,96866,8932,143.4,25.92,197.1,0.05304
SQLi,login,RG,static,0.3,5,300,2,0.6667,51,0,25.5,51,49,59868,5465,99.6,21.2,138.7,0.03269
SQLi,login,RG,static,0.3,6,300,2,0.6667,55,0,27.5,55,53,64354,5989,112.0,21.86,153.0,0.03532
SQLi,login,RG,static,0.3,7,300,2,0.6667,2,0,1.0,2,0,2674,228,4.0,12.98,20.4,0.00143
SQLi,login,RG,static,0.3,8,300,2,0.6667,71,0,35.5,71,69,83068,7684,124.2,25.31,173.4,0.04552
SQLi,login,RG,static,0.3,9,300,2,0.6667,68,0,34.0,68,66,80001,7280,126.9,30.0,180.1,0.04365
SQLi,login,RG,static,0.3,10,300,2,0.6667,43,0,21.5,43,41,50732,4577,78.0,22.39,116.0,0.02762
SQLi,login,CG-Static,static,0.1,1,300,2,0.6667,112,0,56.0,112,110,128937,10647,246.4,32.47,312.9,0.06861
SQLi,login,CG-Static,static,0.1,2,300,1,0.3333,57,0,57.0,59,58,65692,5581,117.6,17.3,154.7,0.03521
SQLi,login,CG-Static,static,0.1,3,300,1,0.3333,58,0,58.0,58,57,66730,5510,111.0,17.5,146.6,0.03551
SQLi,login,CG-Static,static,0.1,4,300,1,0.3333,100,0,100.0,100,99,115209,9590,238.7,37.37,308.8,0.06143
SQLi,login,CG-Static,static,0.1,5,300,1,0.3333,15,0,15.0,15,14,17294,1504,33.7,12.44,53.8,0.00932
SQLi,login,CG-Static,static,0.1,6,300,1,0.3333,153,0,153.0,153,152,176614,14578,361.1,51.39,461.2,0.09397
SQLi,login,CG-Static,static,0.1,7,300,1,0.3333,42,0,42.0,43,42,48537,4064,83.6,18.25,116.2,0.02592
SQLi,login,CG-Static,static,0.1,8,300,1,0.3333,39,0,39.0,40,39,44980,3859,187.6,12.79,214.4,0.02417
SQLi,login,CG-Static,static,0.1,9,300,1,0.3333,16,0,16.0,16,15,18596,1545,39.2,11.68,58.5,0.00991
SQLi,login,CG-Static,static,0.1,10,300,2,0.6667,16,0,8.0,16,14,18364,1638,74.0,14.03,95.5,0.00997
SQLi,login,CG-Static,static,0.2,1,300,2,0.6667,11,0,5.5,11,9,12726,1050,22.0,17.62,45.7,0.00677
SQLi,login,CG-Static,static,0.2,2,300,1,0.3333,43,0,43.0,43,42,49621,4085,101.8,22.37,139.9,0.02638
SQLi,login,CG-Static,static,0.2,3,300,1,0.3333,11,0,11.0,11,10,12683,1068,26.2,11.51,43.7,0.00678
SQLi,login,CG-Static,static,0.2,4,300,2,0.6667,34,0,17.0,34,32,39739,3228,77.3,22.78,113.2,0.02106
SQLi,login,CG-Static,static,0.2,5,300,2,0.6667,85,0,42.5,85,83,97953,8303,212.3,65.94,307.1,0.05247
SQLi,login,CG-Static,static,0.2,6,300,1,0.3333,15,0,15.0,15,14,17828,1426,34.9,13.09,55.3,0.00941
SQLi,login,CG-Static,static,0.2,7,300,1,0.3333,26,0,26.0,26,25,31411,2516,95.9,10.72,116.9,0.01659
SQLi,login,CG-Static,static,0.2,8,300,1,0.3333,11,0,11.0,11,10,13011,1046,25.2,12.2,43.5,0.00688
SQLi,login,CG-Static,static,0.2,9,300,1,0.3333,16,0,16.0,16,15,18560,1529,30.0,14.38,51.9,0.00987
SQLi,login,CG-Static,static,0.2,10,300,1,0.3333,6,0,6.0,6,5,7145,572,11.9,10.28,26.6,0.00377
SQLi,login,CG-Static,static,0.3,1,300,2,0.6667,18,0,9.0,18,16,21419,1815,43.6,22.38,74.3,0.01147
SQLi,login,CG-Static,static,0.3,2,300,3,1.0,86,0,28.67,87,84,99611,8176,199.0,90.02,1761.1,0.05293
SQLi,login,CG-Static,static,0.3,3,300,1,0.3333,1,0,1.0,1,0,1341,91,2.4,9.14,14.7,0.00068
SQLi,login,CG-Static,static,0.3,4,300,2,0.6667,36,0,18.0,36,34,42421,3559,97.0,25.34,136.0,0.02266
SQLi,login,CG-Static,static,0.3,5,300,2,0.6667,3,0,1.5,3,1,4040,278,6.6,14.27,24.5,0.00206
SQLi,login,CG-Static,static,0.3,6,300,2,0.6667,3,0,1.5,3,1,4109,299,7.0,14.6,25.3,0.00212
SQLi,login,CG-Static,static,0.3,7,300,2,0.6667,10,0,5.0,10,8,12177,1071,27.7,20.04,53.6,0.00658
SQLi,login,CG-Static,static,0.3,8,300,1,0.3333,1,0,1.0,1,0,1357,87,3.3,7.65,13.7,0.00068
SQLi,login,CG-Static,static,0.3,9,300,2,0.6667,57,0,28.5,57,55,66522,5517,129.0,43.32,192.4,0.03544
SQLi,login,CG-Static,static,0.3,10,300,2,0.6667,87,0,43.5,87,85,101629,8316,196.5,96.09,322.5,0.05396
SQLi,login,CG-Static,static,0.4,1,300,1,0.3333,1,0,1.0,1,0,1321,112,2.3,8.9,14.2,0.00071
SQLi,login,CG-Static,static,0.4,2,300,2,0.6667,31,0,15.5,31,29,39511,2997,107.1,41.05,160.5,0.0206
SQLi,login,CG-Static,static,0.4,3,300,1,0.3333,30,0,30.0,30,29,36557,2845,68.9,53.17,134.5,0.01917
SQLi,login,CG-Static,static,0.4,4,300,2,0.6667,13,0,6.5,13,11,18369,1303,37.0,38.61,82.7,0.00943
SQLi,login,CG-Static,static,0.4,5,300,2,0.6667,3,0,1.5,3,1,4124,282,10.0,15.43,29.9,0.0021
SQLi,login,CG-Static,static,0.4,6,300,1,0.3333,1,0,1.0,1,0,1349,90,2.5,8.66,14.2,0.00068
SQLi,login,CG-Static,static,0.4,7,300,1,0.3333,30,0,30.0,30,29,38180,2875,113.3,39.07,164.4,0.01987
SQLi,login,CG-Static,static,0.4,8,300,1,0.3333,1,0,1.0,1,0,1360,99,5.7,8.22,16.8,0.0007
SQLi,login,CG-Static,static,0.4,9,300,2,0.6667,4,0,2.0,4,2,5506,428,16.7,18.11,38.9,0.00289
SQLi,login,CG-Static,static,0.4,10,300,3,1.0,30,0,10.0,30,27,36918,2878,89.5,64.12,166.2,0.01937
SQLi,login,CG-Static,static,0.5,1,300,2,0.6667,3,0,1.5,3,1,4069,300,7.3,13.82,24.8,0.00211
SQLi,login,CG-Static,static,0.5,2,300,1,0.3333,30,0,30.0,30,29,35911,2692,91.5,54.95,158.8,0.01867
