config,workload,concurrency,repeat,n,p50_ms,p95_ms,p99_ms,avg_ms,req_per_sec,ok,err,cpu_pct,url
direct,plain,1,1,10000,0.4,0.5,0.6,0.4,2500.5215,10000,0,0.0,http://127.0.0.1:8080/product?id=1
direct,plain,1,2,10000,0.4,0.5,0.7,0.4,2438.3079,10000,0,0.0,http://127.0.0.1:8080/product?id=1
direct,plain,1,3,10000,0.4,0.5,0.7,0.4,2418.8277,10000,0,0.0,http://127.0.0.1:8080/product?id=1
direct,plain,1,4,10000,0.4,0.5,0.9,0.4,2399.4763,10000,0,0.0,http://127.0.0.1:8080/product?id=1
direct,plain,1,5,10000,0.4,0.5,0.7,0.4,2418.4544,10000,0,0.0,http://127.0.0.1:8080/product?id=1
direct,plain,10,1,10000,3.0,4.7,5.7,4.4,1959.8625,10000,0,0.0,http://127.0.0.1:8080/product?id=1
direct,plain,10,2,10000,3.3,5.0,6.1000000000000005,4.7,1905.5192,10000,0,0.0,http://127.0.0.1:8080/product?id=1
direct,plain,10,3,10000,3.1,4.7,5.6,4.4,1994.5842,10000,0,0.0,http://127.0.0.1:8080/product?id=1
direct,plain,10,4,10000,3.3,4.6,5.5,4.6,1960.3726,10000,0,0.0,http://127.0.0.1:8080/product?id=1
direct,plain,10,5,10000,3.2,5.4,6.8999999999999995,4.7,1825.4167,10000,0,0.0,http://127.0.0.1:8080/product?id=1
direct,plain,50,1,10000,3.3,5.6,1009.7,19.2,1264.4759,10000,0,0.0,http://127.0.0.1:8080/product?id=1
direct,plain,50,2,10000,3.4,5.0,6.7,17.6,1779.614,10000,0,0.0,http://127.0.0.1:8080/product?id=1
direct,plain,50,3,10000,3.5,5.4,1018.1,19.7,1714.269,10000,0,0.0,http://127.0.0.1:8080/product?id=1
direct,plain,50,4,10000,3.3,5.1000000000000005,1011.5000000000001,18.2,1709.8373,10000,0,0.0,http://127.0.0.1:8080/product?id=1
direct,plain,50,5,10000,3.3,5.0,1009.5000000000001,19.2,1501.7303,10000,0,0.0,http://127.0.0.1:8080/product?id=1
direct,token,1,1,10000,0.4,0.5,1.0,0.4,2378.5672,10000,0,0.0,http://127.0.0.1:8080/product?id=1&note=a%3Cb%20and%20c%3Ed
direct,token,1,2,10000,0.4,0.5,0.9,0.4,2362.0968,10000,0,0.0,http://127.0.0.1:8080/product?id=1&note=a%3Cb%20and%20c%3Ed
direct,token,1,3,10000,0.4,0.5,0.9,0.4,2367.1181,10000,0,0.0,http://127.0.0.1:8080/product?id=1&note=a%3Cb%20and%20c%3Ed
direct,token,1,4,10000,0.4,0.5,1.3,0.4,2314.2555,10000,0,0.0,http://127.0.0.1:8080/product?id=1&note=a%3Cb%20and%20c%3Ed
direct,token,1,5,10000,0.4,0.5,1.1,0.4,2388.6051,10000,0,0.0,http://127.0.0.1:8080/product?id=1&note=a%3Cb%20and%20c%3Ed
direct,token,10,1,10000,3.1,4.8,5.7,4.6,1899.6073,10000,0,0.0,http://127.0.0.1:8080/product?id=1&note=a%3Cb%20and%20c%3Ed
direct,token,10,2,10000,3.2,4.8999999999999995,5.8,4.7,1914.8339,10000,0,0.0,http://127.0.0.1:8080/product?id=1&note=a%3Cb%20and%20c%3Ed
direct,token,10,3,10000,3.1,4.8,5.8,4.1000000000000005,1979.9593,10000,0,0.0,http://127.0.0.1:8080/product?id=1&note=a%3Cb%20and%20c%3Ed
direct,token,10,4,10000,3.5,5.2,6.3,5.0,1805.6326,10000,0,0.0,http://127.0.0.1:8080/product?id=1&note=a%3Cb%20and%20c%3Ed
direct,token,10,5,10000,3.4,5.1000000000000005,6.2,4.8999999999999995,1832.595,10000,0,0.0,http://127.0.0.1:8080/product?id=1&note=a%3Cb%20and%20c%3Ed
direct,token,50,1,10000,3.3,5.5,1020.4,19.900000000000002,1499.179,10000,0,0.0,http://127.0.0.1:8080/product?id=1&note=a%3Cb%20and%20c%3Ed
direct,token,50,2,10000,3.3,5.0,7.1000000000000005,18.0,1717.3086,10000,0,0.0,http://127.0.0.1:8080/product?id=1&note=a%3Cb%20and%20c%3Ed
direct,token,50,3,10000,3.2,5.3,1015.7,19.2,1271.3256,10000,0,0.0,http://127.0.0.1:8080/product?id=1&note=a%3Cb%20and%20c%3Ed
direct,token,50,4,10000,3.4,5.0,1008.6999999999999,19.400000000000002,1494.0381,10000,0,0.0,http://127.0.0.1:8080/product?id=1&note=a%3Cb%20and%20c%3Ed
direct,token,50,5,10000,3.3,5.4,7.4,19.0,1478.8558,10000,0,0.0,http://127.0.0.1:8080/product?id=1&note=a%3Cb%20and%20c%3Ed
crs_only,plain,1,1,10000,1.0,1.2,1.4,1.0,990.5723,10000,0,68.7,http://localhost/customapp/product?id=1
crs_only,plain,1,2,10000,1.0,1.1,1.3,1.0,996.2198,10000,0,68.3,http://localhost/customapp/product?id=1
