config,workload,concurrency,p50_ms,p95_ms,p99_ms,req_per_sec,cpu_pct,overhead_vs_crs_pct,overhead_vs_direct_pct
direct,plain,1,0.40,0.50,0.70,2419,0.0,-60.0,+0.0
direct,plain,10,3.20,4.70,5.70,1960,0.0,-15.8,+0.0
direct,plain,50,3.30,5.10,1009.70,1710,0.0,-21.4,+0.0
direct,token,1,0.40,0.50,1.00,2367,0.0,-60.0,+0.0
direct,token,10,3.20,4.90,5.80,1900,0.0,-22.0,+0.0
direct,token,50,3.30,5.30,1008.70,1494,0.0,-23.3,+0.0
crs_only,plain,1,1.00,1.10,1.30,996,68.7,+0.0,+150.0
crs_only,plain,10,3.80,5.80,6.90,1830,125.5,+0.0,+18.7
crs_only,plain,50,4.20,6.00,225.40,1754,122.8,+0.0,+27.3
crs_only,token,1,1.00,1.20,1.50,949,69.9,+0.0,+150.0
crs_only,token,10,4.10,5.80,6.70,1821,131.4,+0.0,+28.1
crs_only,token,50,4.30,6.10,497.80,1672,121.6,+0.0,+30.3
cg_adaptive_sqli,plain,1,1.00,1.10,1.40,1011,68.3,+0.0,+150.0
cg_adaptive_sqli,plain,10,3.70,5.50,6.30,1866,125.4,-2.6,+15.6
cg_adaptive_sqli,plain,50,4.20,6.00,446.40,1744,118.3,+0.0,+27.3
cg_adaptive_sqli,token,1,1.00,1.20,1.40,956,69.6,+0.0,+150.0
cg_adaptive_sqli,token,10,4.10,5.70,6.50,1842,131.7,+0.0,+28.1
cg_adaptive_sqli,token,50,4.30,6.10,478.40,1730,124.7,+0.0,+30.3
cg_static_sqli,plain,1,1.00,1.10,1.30,1002,69.0,+0.0,+150.0
cg_static_sqli,plain,10,4.00,5.50,6.40,1855,125.8,+5.3,+25.0
cg_static_sqli,plain,50,4.20,6.30,485.20,1680,116.1,+0.0,+27.3
cg_static_sqli,token,1,1.00,1.20,1.60,942,69.7,+0.0,+150.0
cg_static_sqli,token,10,3.90,5.80,6.80,1832,135.7,-4.9,+21.9
cg_static_sqli,token,50,4.30,6.10,192.10,1711,124.6,+0.0,+30.3
cg_adaptive_xss,plain,1,1.00,1.30,2.40,959,68.1,+0.0,+150.0
cg_adaptive_xss,plain,10,3.70,6.00,7.40,1780,125.5,-2.6,+15.6
cg_adaptive_xss,plain,50,3.90,6.40,502.80,1656,115.3,-7.1,+18.2
cg_adaptive_xss,token,1,1.00,1.30,2.50,921,68.7,+0.0,+150.0
cg_adaptive_xss,token,10,3.80,6.30,7.80,1616,132.8,-7.3,+18.7
cg_adaptive_xss,token,50,4.30,6.70,1015.30,1644,124.6,+0.0,+30.3
cg_static_xss,plain,1,1.00,1.20,2.50,974,68.0,+0.0,+150.0
cg_static_xss,plain,10,3.60,5.90,7.20,1768,128.5,-5.3,+12.5
cg_static_xss,plain,50,4.20,6.40,449.10,1666,121.0,+0.0,+27.3
cg_static_xss,token,1,1.00,1.40,2.70,900,68.8,+0.0,+150.0
cg_static_xss,token,10,3.50,5.90,7.30,1744,135.2,-14.6,+9.4
cg_static_xss,token,50,4.20,6.60,1006.10,1499,118.3,-2.3,+27.3
