technique,cg_seed,n_rules,blocked,total,block_rate_pct,bypassed
CRS-only,0,0,0,45,0.0000,45
CG-Adaptive,1,3,42,45,93.3333,3
CG-Adaptive,2,5,45,45,100.0000,0
CG-Adaptive,3,5,45,45,100.0000,0
CG-Adaptive,4,4,45,45,100.0000,0
CG-Adaptive,5,3,42,45,93.3333,3
CG-Adaptive,6,3,42,45,93.3333,3
CG-Adaptive,7,3,42,45,93.3333,3
CG-Adaptive,8,6,42,45,93.3333,3
CG-Adaptive,9,3,45,45,100.0000,0
CG-Adaptive,10,4,42,45,93.3333,3
CG-Static,1,6,42,45,93.3333,3
CG-Static,2,5,42,45,93.3333,3
CG-Static,3,3,42,45,93.3333,3
CG-Static,4,6,45,45,100.0000,0
CG-Static,5,2,45,45,100.0000,0
CG-Static,6,3,42,45,93.3333,3
CG-Static,7,2,42,45,93.3333,3
CG-Static,8,6,42,45,93.3333,3
CG-Static,9,2,42,45,93.3333,3
CG-Static,10,4,45,45,100.0000,0
