iter,generated,reached_n,reached_pct,non_executable_n,attempted_n,attempted_pct,app_rejected_n,sql_failed_n,sql_failed_pct,ran_clean_n,ran_clean_pct,backend_invalid_n,backend_valid_n,backend_valid_pct,waf_tested_n,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,50,50,100.0,0,50,100.0,0,5,10.0,45,90.0,2,43,86.0,43,2,4.7,41,95.3,12.2,2403,1888
1,50,50,100.0,0,50,100.0,0,4,8.0,46,92.0,0,46,92.0,46,0,0.0,46,100.0,19.6,7107,1825
2,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,0,49,98.0,49,1,2.0,48,98.0,31.2,7677,1933
3,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,2,47,94.0,47,1,2.1,46,97.9,21.7,8223,1948
4,50,50,100.0,0,50,100.0,0,13,26.0,37,74.0,1,36,72.0,36,0,0.0,36,100.0,16.7,8025,2078
5,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,2,46,92.0,46,0,0.0,46,100.0,8.7,6885,2003
6,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,1,48,96.0,48,0,0.0,48,100.0,2.1,8157,1960
7,50,50,100.0,0,50,100.0,0,5,10.0,45,90.0,0,45,90.0,45,0,0.0,45,100.0,24.4,8352,2002
8,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,1,48,96.0,48,0,0.0,48,100.0,31.2,8043,2051
9,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,14.0,8601,2032
