iter,generated,reached_n,reached_pct,non_executable_n,attempted_n,attempted_pct,app_rejected_n,sql_failed_n,sql_failed_pct,ran_clean_n,ran_clean_pct,backend_invalid_n,backend_valid_n,backend_valid_pct,waf_tested_n,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,3,6.0,47,94.0,0.0,2487,1639
1,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,1,2.0,49,98.0,8.2,7350,1707
2,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,12.0,7938,1912
3,51,51,100.0,0,51,100.0,0,0,0.0,51,100.0,0,51,100.0,51,1,2.0,50,98.0,16.0,8658,1984
4,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,0,48,96.0,48,1,2.1,47,97.9,2.1,8691,1948
5,49,49,100.0,0,49,100.0,0,0,0.0,49,100.0,0,49,100.0,49,0,0.0,49,100.0,6.1,8310,1936
6,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,0,48,96.0,48,0,0.0,48,100.0,0.0,8586,1938
7,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,0,48,96.0,48,0,0.0,48,100.0,2.1,8466,2001
8,51,51,100.0,0,51,100.0,0,2,3.9,49,96.1,0,49,96.1,49,0,0.0,49,100.0,0.0,8658,2047
9,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,2.0,8763,2032
