iter,generated,reached_n,reached_pct,non_executable_n,attempted_n,attempted_pct,app_rejected_n,sql_failed_n,sql_failed_pct,ran_clean_n,ran_clean_pct,backend_invalid_n,backend_valid_n,backend_valid_pct,waf_tested_n,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,46,46,100.0,0,46,100.0,0,10,21.7,36,78.3,0,36,78.3,36,3,8.3,33,91.7,6.1,2367,347
1,50,50,100.0,0,50,100.0,0,14,28.0,36,72.0,0,36,72.0,36,0,0.0,36,100.0,30.6,3492,490
2,50,50,100.0,0,50,100.0,0,14,28.0,36,72.0,0,36,72.0,36,0,0.0,36,100.0,55.6,3846,652
3,50,50,100.0,0,50,100.0,0,4,8.0,46,92.0,0,46,92.0,46,0,0.0,46,100.0,26.1,4188,689
4,50,50,100.0,0,50,100.0,0,3,6.0,47,94.0,0,47,94.0,47,0,0.0,47,100.0,25.5,4749,722
5,50,50,100.0,0,50,100.0,0,4,8.0,46,92.0,0,46,92.0,46,0,0.0,46,100.0,37.0,4902,738
6,50,50,100.0,0,50,100.0,0,8,16.0,42,84.0,0,42,84.0,42,3,7.1,39,92.9,38.5,4872,802
7,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,1,2.0,49,98.0,34.7,4629,833
8,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,24.0,5310,825
9,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,20.0,5346,817
