iter,generated,reached_n,reached_pct,non_executable_n,attempted_n,attempted_pct,app_rejected_n,sql_failed_n,sql_failed_pct,ran_clean_n,ran_clean_pct,backend_invalid_n,backend_valid_n,backend_valid_pct,waf_tested_n,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,47,47,100.0,0,47,100.0,0,2,4.3,45,95.7,2,43,91.5,43,0,0.0,43,100.0,0.0,2448,2127
1,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,1,47,94.0,47,0,0.0,47,100.0,4.3,8079,2107
2,51,51,100.0,0,51,100.0,0,3,5.9,48,94.1,7,41,80.4,41,0,0.0,41,100.0,9.8,8664,2308
3,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,1,2.0,49,98.0,2.0,8190,2098
4,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,0,49,98.0,49,0,0.0,49,100.0,0.0,8877,2051
5,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,2,48,96.0,48,0,0.0,48,100.0,0.0,8766,2071
6,51,51,100.0,0,51,100.0,0,0,0.0,51,100.0,0,51,100.0,51,0,0.0,51,100.0,0.0,8679,2121
7,50,50,100.0,0,50,100.0,0,1,2.0,49,98.0,1,48,96.0,48,0,0.0,48,100.0,0.0,9054,2504
8,50,50,100.0,0,50,100.0,0,0,0.0,50,100.0,0,50,100.0,50,0,0.0,50,100.0,0.0,8808,2062
9,50,50,100.0,0,50,100.0,0,2,4.0,48,96.0,0,48,96.0,48,0,0.0,48,100.0,0.0,8922,2060
