iter,generated,reached_n,executed_n,backend_valid_n,backend_valid_pct,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,50,50,38,38,76.0,19,50.0,19,50.0,57.9,1485,724
1,50,50,30,30,60.0,13,43.3,17,56.7,70.6,2010,821
2,50,50,37,37,74.0,16,43.2,21,56.8,61.9,2121,948
3,50,50,37,37,74.0,9,24.3,28,75.7,53.6,2484,914
4,49,49,44,44,89.8,11,25.0,33,75.0,33.3,3009,1087
5,49,49,45,45,91.8,17,37.8,28,62.2,17.9,3465,1163
6,50,50,41,41,82.0,24,58.5,17,41.5,52.9,3342,1370
7,50,50,46,46,92.0,19,41.3,27,58.7,11.1,2679,1497
8,54,54,29,29,53.7,4,13.8,25,86.2,0.0,3669,1564
9,50,50,47,47,94.0,1,2.1,46,97.9,2.2,3771,1667
