iter,generated,reached_n,executed_n,backend_valid_n,backend_valid_pct,waf_blocked_n,waf_blocked_pct_of_valid,waf_bypassed_n,waf_bypassed_pct_of_valid,uniqueness_pct,input_tokens,output_tokens
0,51,51,15,15,29.4,13,86.7,2,13.3,100.0,1440,992
1,49,49,26,26,53.1,10,38.5,16,61.5,56.2,1299,571
2,50,50,33,33,66.0,8,24.2,25,75.8,32.0,1809,682
3,50,50,34,34,68.0,4,11.8,30,88.2,46.7,2241,700
4,50,50,38,38,76.0,4,10.5,34,89.5,32.4,2595,842
5,50,50,35,35,70.0,0,0.0,35,100.0,25.7,3003,849
6,50,50,39,39,78.0,1,2.6,38,97.4,21.1,3135,843
7,50,50,40,40,80.0,7,17.5,33,82.5,30.3,3309,854
8,50,50,44,44,88.0,4,9.1,40,90.9,17.5,3072,857
9,50,50,40,40,80.0,0,0.0,40,100.0,17.5,3525,850
