family,page,seed,rounds,requested_per_round,unique_generated,non_executable,backend_valid,crs_blocked,crs_bypassed,crs_bypass_pct_of_valid,bypasser_diversity_pct,input_tokens,output_tokens
SQLi,login,1,10,50,502,0,448,11,437,97.54,56.4,43233,6737
SQLi,search,1,10,50,515,0,463,7,456,98.49,24.4,79251,21877
SQLi,product,1,10,50,501,0,475,4,471,99.16,3.8,75765,19257
SQLi,filter,1,10,50,500,0,458,4,454,99.13,18.2,73473,19720
SQLi,login,2,10,50,499,0,437,13,424,97.03,71.5,44163,7352
SQLi,search,2,10,50,503,0,491,2,489,99.59,14.2,88389,23034
SQLi,product,2,10,50,500,0,467,4,463,99.14,42.3,79563,21176
SQLi,filter,2,10,50,504,0,455,1,454,99.78,17.3,74184,21106
SQLi,login,3,10,50,497,0,456,5,451,98.9,66.0,45387,7121
SQLi,search,3,10,50,501,0,493,6,487,98.78,4.9,77907,19144
SQLi,product,3,10,50,500,0,463,1,462,99.78,1.1,74979,19320
SQLi,filter,3,10,50,502,0,471,2,469,99.58,29.5,88860,25016
SQLi,login,4,10,50,496,0,439,7,432,98.41,29.8,43701,6915
SQLi,search,4,10,50,498,0,465,7,458,98.49,1.7,77250,20184
SQLi,product,4,10,50,500,0,471,4,467,99.15,3.2,75954,19532
SQLi,filter,4,10,50,500,0,468,2,466,99.57,15.9,82944,22674
SQLi,login,5,10,50,500,0,404,14,390,96.53,39.9,42621,7296
SQLi,search,5,10,50,505,0,485,3,482,99.38,24.1,88122,23379
SQLi,product,5,10,50,499,0,475,1,474,99.79,1.6,80487,21509
SQLi,filter,5,10,50,499,0,473,0,473,100.0,0.4,73116,18489
XSS,search,1,10,50,495,0,408,119,289,70.83,41.8,27894,9210
XSS,calc,1,10,50,502,0,326,64,262,80.37,40.4,25848,8821
XSS,search,2,10,50,502,0,394,133,261,66.24,36.1,28035,11755
XSS,calc,2,10,50,496,0,334,85,249,74.55,23.0,26403,9759
XSS,search,3,10,50,497,0,396,92,304,76.77,31.0,31815,10999
XSS,calc,3,10,50,500,0,344,51,293,85.17,37.9,25428,8040
XSS,search,4,10,50,495,0,412,98,314,76.21,27.0,31464,10729
XSS,calc,4,10,50,493,0,380,54,326,85.79,37.7,27639,8174
XSS,search,5,10,50,499,0,398,73,325,81.66,22.7,29220,9422
XSS,calc,5,10,50,500,0,344,75,269,78.2,23.1,22923,7878
