family,page,seed,epsilon,clusters,singleton_pct,median_cluster_size,max_cluster_size,accepted_rules,defense_calls,input_tokens,output_tokens,added_fp_pct,block_pct
SQLi,login,1,0.1,297,99.3,1.0,3,2,112,128937,10647,0.55,100.0
SQLi,login,2,0.1,292,98.3,1.0,4,1,57,65692,5581,0.0,100.0
SQLi,login,3,0.1,296,98.6,1.0,2,1,58,66730,5510,0.0,100.0
SQLi,login,4,0.1,291,98.6,1.0,5,1,100,115209,9590,0.55,100.0
SQLi,login,5,0.1,294,98.6,1.0,4,1,15,17294,1504,0.0,100.0
SQLi,login,6,0.1,294,98.6,1.0,3,1,153,176614,14578,0.0,100.0
SQLi,login,7,0.1,294,98.3,1.0,3,1,42,48537,4064,0.0,100.0
SQLi,login,8,0.1,288,98.6,1.0,9,1,39,44980,3859,0.55,100.0
SQLi,login,9,0.1,282,98.6,1.0,10,1,16,18596,1545,0.0,100.0
SQLi,login,10,0.1,299,99.7,1.0,2,2,16,18364,1638,0.55,100.0
SQLi,login,1,0.2,227,91.6,1.0,46,2,11,12726,1050,0.55,100.0
SQLi,login,2,0.2,228,95.6,1.0,40,1,43,49621,4085,0.0,100.0
SQLi,login,3,0.2,232,90.5,1.0,27,1,11,12683,1068,0.0,100.0
SQLi,login,4,0.2,227,93.0,1.0,40,2,34,39739,3228,0.55,100.0
SQLi,login,5,0.2,217,90.8,1.0,31,2,85,97953,8303,0.0,100.0
SQLi,login,6,0.2,227,90.7,1.0,27,1,15,17828,1426,0.0,100.0
SQLi,login,7,0.2,243,92.2,1.0,18,1,26,31411,2516,0.0,100.0
SQLi,login,8,0.2,234,91.9,1.0,37,1,11,13011,1046,0.0,100.0
SQLi,login,9,0.2,225,93.8,1.0,33,1,16,18560,1529,0.0,100.0
SQLi,login,10,0.2,234,88.9,1.0,29,1,6,7145,572,0.0,100.0
SQLi,login,1,0.3,30,90.0,1.0,269,2,18,21419,1815,0.55,100.0
SQLi,login,2,0.3,30,86.7,1.0,266,3,86,99611,8176,0.0,100.0
SQLi,login,3,0.3,32,90.6,1.0,267,1,1,1341,91,0.0,100.0
SQLi,login,4,0.3,34,85.3,1.0,262,2,36,42421,3559,0.0,100.0
SQLi,login,5,0.3,35,85.7,1.0,262,2,3,4040,278,0.55,100.0
SQLi,login,6,0.3,40,90.0,1.0,258,2,3,4109,299,0.55,100.0
SQLi,login,7,0.3,36,91.7,1.0,261,2,10,12177,1071,0.0,100.0
SQLi,login,8,0.3,32,84.4,1.0,262,1,1,1357,87,0.0,100.0
SQLi,login,9,0.3,21,90.5,1.0,278,2,57,66522,5517,0.55,100.0
SQLi,login,10,0.3,33,84.8,1.0,259,2,87,101629,8316,0.55,98.67
SQLi,login,1,0.4,2,50.0,150.0,299,1,1,1321,112,0.0,100.0
SQLi,login,2,0.4,2,50.0,150.0,299,2,31,39511,2997,0.55,100.0
SQLi,login,3,0.4,1,0.0,300.0,300,1,30,36557,2845,0.0,97.67
SQLi,login,4,0.4,1,0.0,300.0,300,2,13,18369,1303,0.55,100.0
SQLi,login,5,0.4,1,0.0,300.0,300,2,3,4124,282,0.55,100.0
SQLi,login,6,0.4,1,0.0,300.0,300,1,1,1349,90,0.0,100.0
SQLi,login,7,0.4,1,0.0,300.0,300,1,30,38180,2875,0.0,96.67
SQLi,login,8,0.4,1,0.0,300.0,300,1,1,1360,99,0.0,100.0
SQLi,login,9,0.4,1,0.0,300.0,300,2,4,5506,428,0.0,100.0
SQLi,login,10,0.4,1,0.0,300.0,300,3,30,36918,2878,0.0,98.67
SQLi,login,1,0.5,1,0.0,300.0,300,2,3,4069,300,0.0,100.0
SQLi,login,2,0.5,1,0.0,300.0,300,1,30,35911,2692,0.0,98.33
SQLi,login,3,0.5,1,0.0,300.0,300,1,1,1342,95,0.0,100.0
SQLi,login,4,0.5,1,0.0,300.0,300,2,19,26945,1832,0.0,100.0
SQLi,login,5,0.5,1,0.0,300.0,300,2,4,5476,393,0.55,100.0
SQLi,login,6,0.5,1,0.0,300.0,300,1,1,1349,96,0.55,100.0
SQLi,login,7,0.5,1,0.0,300.0,300,3,24,30548,2297,0.0,100.0
SQLi,login,8,0.5,1,0.0,300.0,300,2,4,5513,392,0.55,100.0
SQLi,login,9,0.5,1,0.0,300.0,300,2,4,5506,392,0.0,100.0
SQLi,login,10,0.5,1,0.0,300.0,300,1,1,1340,102,0.0,100.0
SQLi,search,1,0.1,253,89.3,1.0,6,1,1,1119,133,0.0,100.0
SQLi,search,2,0.1,264,91.7,1.0,5,1,31,36580,4022,0.0,99.67
SQLi,search,3,0.1,254,88.2,1.0,5,1,2,2288,267,0.0,100.0
SQLi,search,4,0.1,250,88.8,1.0,9,1,31,36577,4073,0.0,99.67
SQLi,search,5,0.1,240,85.0,1.0,15,1,2,2280,235,0.0,100.0
SQLi,search,6,0.1,259,90.0,1.0,7,1,3,3562,369,0.0,100.0
SQLi,search,7,0.1,250,89.6,1.0,17,1,1,1155,117,0.0,100.0
SQLi,search,8,0.1,258,90.3,1.0,7,1,2,2302,234,0.0,100.0
SQLi,search,9,0.1,269,92.2,1.0,7,1,1,1104,120,0.0,100.0
SQLi,search,10,0.1,250,89.2,1.0,5,1,2,2304,256,0.0,100.0
SQLi,search,1,0.2,95,88.4,1.0,177,1,1,1813,136,0.0,100.0
SQLi,search,2,0.2,84,79.8,1.0,186,1,31,36778,4037,0.0,99.67
SQLi,search,3,0.2,77,89.6,1.0,214,1,1,1776,122,0.0,100.0
SQLi,search,4,0.2,72,86.1,1.0,200,1,31,37253,3904,0.0,99.67
SQLi,search,5,0.2,74,85.1,1.0,206,1,1,1711,134,0.0,100.0
SQLi,search,6,0.2,78,88.5,1.0,208,1,2,2316,254,0.0,100.0
SQLi,search,7,0.2,85,90.6,1.0,195,1,1,1718,122,0.0,100.0
SQLi,search,8,0.2,94,84.0,1.0,163,1,1,1756,122,0.0,100.0
SQLi,search,9,0.2,105,85.7,1.0,170,1,1,1775,124,0.0,100.0
SQLi,search,10,0.2,76,93.4,1.0,206,1,1,1114,124,0.0,100.0
SQLi,search,1,0.3,15,93.3,1.0,286,1,1,1765,122,0.0,100.0
SQLi,search,2,0.3,7,85.7,1.0,294,1,31,37212,3983,0.0,99.67
SQLi,search,3,0.3,9,77.8,1.0,291,1,1,1773,120,0.0,100.0
SQLi,search,4,0.3,16,87.5,1.0,284,1,31,37256,4051,0.0,99.67
SQLi,search,5,0.3,17,88.2,1.0,283,1,1,1776,120,0.0,100.0
SQLi,search,6,0.3,10,90.0,1.0,291,1,1,1806,136,0.0,100.0
SQLi,search,7,0.3,9,77.8,1.0,288,1,1,1823,122,0.0,100.0
SQLi,search,8,0.3,7,71.4,1.0,293,1,1,1778,122,0.0,100.0
