family,page,strategy,seed,corpus_size,block_pct,blocked,accepted_rules,rounds,candidates,rejected,defense_calls,input_tokens,output_tokens,est_cost_usd,rule_eval_time_s,wall_time_s,added_fp_pct,clusters,singleton_pct,mean_cluster_size,median_cluster_size,max_cluster_size
SQLi,login,PP,1,300,100.0,300,119,1,752,633,752,827157,90098,0.47502,634.63,2949.0,0.0,,,,,
SQLi,login,PP,2,300,100.0,300,120,1,759,639,759,831383,87847,0.47311,675.99,2877.1,0.0,,,,,
SQLi,login,PP,3,300,100.0,300,139,1,716,577,716,779609,82601,0.44401,805.88,2705.6,0.0,,,,,
SQLi,login,PP,4,300,100.0,300,105,1,741,636,741,976296,85898,0.52796,625.84,3090.5,0.0,,,,,
SQLi,login,PP,5,300,100.0,300,94,1,765,671,765,1010523,88720,0.54616,523.89,2819.2,0.05,,,,,
SQLi,login,PP,6,300,100.0,300,93,1,761,668,761,1006017,89011,0.54482,522.24,2608.6,0.55,,,,,
SQLi,login,PP,7,300,100.0,300,83,1,773,690,773,1023233,91141,0.55512,476.04,2468.2,0.55,,,,,
SQLi,login,PP,8,300,100.0,300,91,1,760,669,760,1005160,89423,0.54514,525.53,2454.9,0.55,,,,,
SQLi,login,PP,9,300,100.0,300,92,1,765,673,765,1011041,89566,0.54772,550.39,2686.5,0.05,,,,,
SQLi,login,PP,10,300,100.0,300,91,1,759,668,759,1003044,88420,0.54269,551.76,2672.2,0.0,,,,,
SQLi,login,RG,1,300,100.0,300,3,7,138,135,138,159802,14866,0.08771,52.62,362.8,0.55,,,,,
SQLi,login,RG,2,300,100.0,300,2,1,43,41,43,50593,4652,0.02768,19.34,113.0,0.0,,,,,
SQLi,login,RG,3,300,100.0,300,3,5,52,49,52,61353,5600,0.0335,37.97,157.2,0.55,,,,,
SQLi,login,RG,4,300,100.0,300,2,1,83,81,83,96866,8932,0.05304,25.92,197.1,0.55,,,,,
SQLi,login,RG,5,300,100.0,300,2,1,51,49,51,59868,5465,0.03269,21.2,138.7,0.55,,,,,
SQLi,login,RG,6,300,100.0,300,2,1,55,53,55,64354,5989,0.03532,21.86,153.0,0.55,,,,,
SQLi,login,RG,7,300,100.0,300,2,1,2,0,2,2674,228,0.00143,12.98,20.4,0.55,,,,,
SQLi,login,RG,8,300,100.0,300,2,1,71,69,71,83068,7684,0.04552,25.31,173.4,0.55,,,,,
SQLi,login,RG,9,300,100.0,300,2,2,68,66,68,80001,7280,0.04365,30.0,180.1,0.55,,,,,
SQLi,login,RG,10,300,100.0,300,2,1,43,41,43,50732,4577,0.02762,22.39,116.0,0.55,,,,,
SQLi,login,CG,1,300,100.0,300,2,1,18,16,18,21419,1815,0.01147,22.38,74.3,0.55,30,90.0,10.0,1.0,269
SQLi,login,CG,2,300,100.0,300,3,8,87,84,86,99611,8176,0.05293,90.02,1761.1,0.0,30,86.7,10.0,1.0,266
SQLi,login,CG,3,300,100.0,300,1,1,1,0,1,1341,91,0.00068,9.14,14.7,0.0,32,90.6,9.38,1.0,267
SQLi,login,CG,4,300,100.0,300,2,1,36,34,36,42421,3559,0.02266,25.34,136.0,0.0,34,85.3,8.82,1.0,262
SQLi,login,CG,5,300,100.0,300,2,1,3,1,3,4040,278,0.00206,14.27,24.5,0.55,35,85.7,8.57,1.0,262
SQLi,login,CG,6,300,100.0,300,2,1,3,1,3,4109,299,0.00212,14.6,25.3,0.55,40,90.0,7.5,1.0,258
SQLi,login,CG,7,300,100.0,300,2,1,10,8,10,12177,1071,0.00658,20.04,53.6,0.0,36,91.7,8.33,1.0,261
SQLi,login,CG,8,300,100.0,300,1,1,1,0,1,1357,87,0.00068,7.65,13.7,0.0,32,84.4,9.38,1.0,262
SQLi,login,CG,9,300,100.0,300,2,1,57,55,57,66522,5517,0.03544,43.32,192.4,0.55,21,90.5,14.29,1.0,278
SQLi,login,CG,10,300,98.67,296,2,10,87,85,87,101629,8316,0.05396,96.09,322.5,0.55,33,84.8,9.09,1.0,259
SQLi,search,PP,1,300,100.0,300,210,1,607,397,607,684166,92003,0.42087,1381.81,3581.1,0.55,,,,,
SQLi,search,PP,2,300,100.0,300,193,1,614,421,614,692594,93123,0.42603,1344.67,3817.4,0.55,,,,,
SQLi,search,PP,3,300,100.0,300,204,1,598,394,598,673343,90609,0.41431,1472.3,3883.8,0.55,,,,,
SQLi,search,PP,4,300,100.0,300,215,1,589,374,589,660437,88256,0.40538,1594.8,3898.2,0.55,,,,,
SQLi,search,PP,5,300,100.0,300,216,1,582,366,582,651649,88018,0.40149,1658.0,3954.3,0.55,,,,,
SQLi,search,PP,6,300,100.0,300,222,1,566,344,566,761563,87976,0.44539,1291.67,3157.0,0.55,,,,,
SQLi,search,PP,7,300,100.0,300,219,1,571,352,571,769436,88692,0.44968,1300.77,3117.0,0.55,,,,,
SQLi,search,PP,8,300,100.0,300,227,1,558,331,558,749775,85862,0.43729,1411.06,3240.5,0.55,,,,,
SQLi,search,PP,9,300,100.0,300,230,1,556,326,556,747216,86375,0.43709,1369.17,3407.6,0.55,,,,,
SQLi,search,PP,10,300,100.0,300,225,1,573,348,573,772050,89092,0.45137,1378.14,3207.8,0.55,,,,,
SQLi,search,RG,1,300,100.0,300,1,1,1,0,1,1824,126,0.00093,7.86,12.4,0.0,,,,,
SQLi,search,RG,2,300,100.0,300,2,3,8,6,7,8768,956,0.00504,21.04,39.8,0.55,,,,,
