family,page,strategy,seed,converged,heldout_block_pct,heldout_valid,heldout_residual,added_fp_pct,accepted_rules,rounds,candidates,rejected,defense_calls,total_calls,input_tokens,output_tokens,est_cost_usd,wall_s
SQLi,login,PP,1,1,100.0,226,0,0.0,12,1,82,70,82,124,143159,14940,0.0812,309.9
SQLi,login,PP,2,1,100.0,228,0,0.0,11,1,100,89,100,142,166924,17252,0.0944,376.9
SQLi,login,PP,3,1,100.0,237,0,0.0,6,1,87,81,87,129,150546,15426,0.0849,307.1
SQLi,login,PP,4,1,100.0,201,0,0.0,6,1,77,71,77,113,132551,14492,0.0762,290.8
SQLi,login,PP,5,1,100.0,213,0,0.0,4,1,78,74,78,120,138694,14292,0.0783,284.5
SQLi,login,PP,6,1,100.0,220,0,0.0,8,1,107,99,107,149,177353,18664,0.1008,397.6
SQLi,login,PP,7,1,100.0,212,0,0.0,11,1,102,91,102,144,169622,17175,0.0953,446.4
SQLi,login,PP,8,1,100.0,238,0,0.0,13,1,83,70,83,119,138698,13950,0.0778,321.5
SQLi,login,PP,9,1,100.0,220,0,0.0,12,1,75,63,75,114,132409,14919,0.0768,334.0
SQLi,login,PP,10,1,100.0,209,0,0.05,12,1,64,52,64,103,116811,12919,0.0674,299.5
SQLi,login,CG,1,1,100.0,261,0,0.55,3,2,5,2,5,47,48026,6817,0.0301,225.2
SQLi,login,CG,2,1,100.0,235,0,0.0,2,2,4,2,4,46,46606,7240,0.0302,195.2
SQLi,login,CG,3,1,100.0,228,0,0.0,2,1,2,0,2,41,35910,5765,0.0236,179.2
SQLi,login,CG,4,1,100.0,220,0,0.0,2,1,3,1,3,45,39804,6204,0.0258,176.4
SQLi,login,CG,5,1,100.0,166,0,0.0,2,2,12,10,12,51,54336,7895,0.0344,242.2
SQLi,login,CG,6,1,100.0,234,0,0.55,2,2,13,11,11,56,58479,8470,0.0369,244.6
SQLi,login,CG,7,1,100.0,245,0,0.55,2,5,63,61,63,108,127363,16977,0.0781,500.7
SQLi,login,CG,8,1,100.0,127,0,0.55,3,3,11,8,11,47,51268,7629,0.0327,220.5
SQLi,login,CG,9,1,100.0,234,0,0.0,2,2,4,2,4,49,49734,7849,0.0325,217.6
SQLi,login,CG,10,1,100.0,221,0,0.55,2,2,4,2,4,49,49332,7027,0.031,211.9
SQLi,search,PP,1,1,100.0,280,0,0.55,40,1,72,32,72,111,127753,34359,0.1061,714.3
SQLi,search,PP,2,1,100.0,281,0,0.55,35,1,78,43,78,108,129974,30395,0.1006,579.3
SQLi,search,PP,3,1,100.0,282,0,0.55,26,1,77,51,77,116,137587,35158,0.1113,671.0
SQLi,search,PP,4,1,100.0,259,0,0.55,33,1,102,69,102,135,166893,36726,0.1255,673.9
SQLi,search,PP,5,1,100.0,254,0,0.55,33,1,90,57,90,120,147563,31623,0.1096,689.2
SQLi,search,PP,6,1,100.0,250,0,0.55,37,1,85,48,85,118,141586,33330,0.11,684.3
SQLi,search,PP,7,1,99.6,278,1,0.55,39,1,84,45,84,117,139898,33183,0.1091,719.4
SQLi,search,PP,8,1,100.0,257,0,0.55,25,1,106,81,106,142,172804,36893,0.1282,720.6
SQLi,search,PP,9,1,100.0,278,0,0.55,30,1,95,65,95,128,154135,32884,0.1143,675.3
SQLi,search,PP,10,1,99.6,279,1,0.55,29,1,95,66,95,128,154904,33192,0.1151,824.0
SQLi,search,CG,1,1,99.3,279,2,0.0,1,1,1,0,1,31,27607,17954,0.0398,302.9
SQLi,search,CG,2,1,99.6,249,1,0.0,1,1,1,0,1,31,27586,18226,0.0402,288.0
SQLi,search,CG,3,1,99.6,253,1,0.0,1,1,1,0,1,34,30151,20479,0.0448,324.2
SQLi,search,CG,4,1,98.9,279,3,0.0,2,1,2,0,2,35,31505,20784,0.0459,331.9
SQLi,search,CG,5,1,100.0,250,0,0.0,1,1,1,0,1,37,32844,22532,0.0492,407.3
SQLi,search,CG,6,1,99.6,277,1,0.55,3,2,3,0,3,39,35944,23502,0.052,399.5
SQLi,search,CG,7,1,99.6,256,1,0.0,1,1,1,0,1,34,30234,21181,0.046,312.1
SQLi,search,CG,8,1,99.6,271,1,0.0,1,1,1,0,1,37,32771,21716,0.0479,334.4
SQLi,search,CG,9,1,100.0,244,0,0.0,1,1,1,0,1,31,27598,18384,0.0405,316.5
SQLi,search,CG,10,1,100.0,262,0,0.0,1,1,1,0,1,34,30246,20115,0.0443,324.6
SQLi,product,PP,1,1,100.0,279,0,0.55,21,1,93,72,93,123,150997,32449,0.1123,649.3
SQLi,product,PP,2,1,100.0,277,0,0.55,19,1,109,90,109,139,172571,32744,0.1214,649.6
SQLi,product,PP,3,1,100.0,264,0,0.55,23,1,112,89,112,145,180086,37716,0.1324,723.8
SQLi,product,PP,4,1,100.0,281,0,0.55,23,1,108,85,108,138,172059,34359,0.1238,785.6
SQLi,product,PP,5,1,100.0,287,0,0.55,15,1,104,89,104,134,166956,33838,0.1209,628.0
SQLi,product,PP,6,1,100.0,272,0,0.55,18,1,112,94,112,142,178246,34726,0.1269,666.8
SQLi,product,PP,7,1,100.0,288,0,0.55,29,1,98,69,98,128,157136,33094,0.1158,625.9
SQLi,product,PP,8,1,100.0,282,0,0.55,19,1,110,91,110,140,174588,33882,0.124,603.9
SQLi,product,PP,9,1,100.0,276,0,0.55,22,1,107,85,107,137,171180,33913,0.1227,625.2
SQLi,product,PP,10,1,100.0,286,0,0.55,10,1,95,85,95,125,155054,32462,0.114,545.4
SQLi,product,CG,1,1,99.3,273,2,0.0,2,1,2,0,2,32,28337,19157,0.042,542.0
SQLi,product,CG,2,1,99.6,280,1,0.0,1,1,1,0,1,34,29766,20115,0.0441,346.3
SQLi,product,CG,3,1,100.0,279,0,0.0,1,1,1,0,1,31,27233,19242,0.0417,358.8
SQLi,product,CG,4,1,100.0,250,0,0.0,1,1,1,0,1,31,26865,20671,0.0438,381.5
SQLi,product,CG,5,1,100.0,281,0,0.0,1,1,1,0,1,31,27266,18724,0.0409,311.8
SQLi,product,CG,6,1,99.6,274,1,0.0,1,1,1,0,1,34,29824,21277,0.046,389.3
SQLi,product,CG,7,1,100.0,282,0,0.0,1,1,1,0,1,31,27292,19272,0.0418,344.7
SQLi,product,CG,8,1,100.0,275,0,0.0,1,1,1,0,1,31,27297,18541,0.0406,318.1
SQLi,product,CG,9,1,100.0,286,0,0.0,1,1,1,0,1,34,29892,20619,0.0449,340.6
SQLi,product,CG,10,1,97.5,279,7,0.0,2,2,2,0,2,44,39678,26506,0.0583,440.6
SQLi,filter,PP,1,1,100.0,261,0,0.55,34,1,108,74,108,144,172932,35728,0.1263,804.1
SQLi,filter,PP,2,1,95.6,252,11,0.0,26,1,104,78,104,137,165364,32290,0.1178,661.2
SQLi,filter,PP,3,1,100.0,256,0,0.0,35,3,264,229,264,303,408396,59486,0.2585,1284.1
SQLi,filter,PP,4,0,64.4,253,90,0.0,29,10,1135,1106,1135,1186,1613907,167550,0.9136,3582.4
SQLi,filter,PP,5,1,100.0,268,0,0.55,29,3,324,295,324,360,485193,62780,0.2945,1243.0
SQLi,filter,PP,6,0,68.1,257,82,0.55,28,10,284,256,284,347,464914,87238,0.3255,1569.9
SQLi,filter,PP,7,1,100.0,279,0,0.55,31,4,460,429,460,514,694964,91911,0.425,1913.9
SQLi,filter,PP,8,1,100.0,226,0,0.55,31,1,110,79,110,143,173545,34431,0.1245,714.0
SQLi,filter,PP,9,1,100.0,256,0,0.55,35,1,95,60,95,128,152592,32085,0.1124,667.9
SQLi,filter,PP,10,1,100.0,267,0,0.05,29,2,200,171,200,236,301049,47797,0.1969,925.6
SQLi,filter,CG,1,1,100.0,257,0,0.0,1,1,1,0,1,34,29261,20980,0.0453,428.4
SQLi,filter,CG,2,1,100.0,225,0,0.0,1,1,1,0,1,37,31819,22446,0.0486,404.3
SQLi,filter,CG,3,1,100.0,247,0,0.0,1,1,1,0,1,34,29281,20851,0.0451,351.2
SQLi,filter,CG,4,1,100.0,264,0,0.0,1,1,1,0,1,31,26759,18688,0.0406,331.9
SQLi,filter,CG,5,1,100.0,245,0,0.0,1,1,1,0,1,34,29275,21702,0.0464,366.0
SQLi,filter,CG,6,1,99.6,274,1,0.0,1,1,1,0,1,34,29276,20414,0.0444,487.2
