family,page,seed,epsilon,converged,heldout_block_pct,heldout_residual,accepted_rules,rounds,defense_calls,rejected,input_tokens,output_tokens,est_cost_usd,added_fp_pct
SQLi,login,1,0.1,1,100.0,0,1,1,9,8,41529,6044,0.0263,0.55
SQLi,login,2,0.1,1,100.0,0,2,2,59,57,104250,11803,0.0606,0.55
SQLi,login,3,0.1,1,100.0,0,2,1,16,14,54290,7386,0.0335,0.55
SQLi,login,4,0.1,1,100.0,0,2,1,16,14,54456,7454,0.0337,0.55
SQLi,login,5,0.1,1,100.0,0,1,1,1,0,31931,5240,0.0212,0.0
SQLi,login,6,0.1,1,100.0,0,3,5,208,205,285808,28788,0.1604,0.55
SQLi,login,7,0.1,1,100.0,0,1,1,1,0,34546,5568,0.0227,0.0
SQLi,login,8,0.1,1,100.0,0,2,1,2,0,38319,6180,0.0252,0.0
SQLi,login,9,0.1,1,100.0,0,2,1,7,5,43989,6642,0.0282,0.55
SQLi,login,10,0.1,1,100.0,0,2,1,13,11,50919,7300,0.032,0.55
SQLi,login,1,0.2,1,100.0,0,2,1,3,1,37228,5809,0.0242,0.0
SQLi,login,2,0.2,1,100.0,0,2,1,3,1,39829,6192,0.0258,0.55
SQLi,login,3,0.2,1,100.0,0,2,3,82,80,133760,14432,0.0766,0.05
SQLi,login,4,0.2,1,100.0,0,2,2,7,5,46999,6356,0.029,0.0
SQLi,login,5,0.2,1,100.0,0,1,1,1,0,37247,5886,0.0243,0.0
SQLi,login,6,0.2,1,100.0,0,2,2,7,5,52684,7090,0.0324,0.55
SQLi,login,7,0.2,1,100.0,0,2,1,2,0,35918,5692,0.0235,0.55
SQLi,login,8,0.2,1,100.0,0,2,6,175,173,260421,28327,0.1495,0.5
SQLi,login,9,0.2,1,100.0,0,2,1,26,24,66129,8404,0.0399,0.0
SQLi,login,10,0.2,1,100.0,0,1,1,1,0,32209,5201,0.0212,0.0
SQLi,login,1,0.3,1,100.0,0,3,2,5,2,48026,6817,0.0301,0.55
SQLi,login,2,0.3,1,100.0,0,2,2,4,2,46606,7240,0.0302,0.0
SQLi,login,3,0.3,1,100.0,0,2,1,2,0,35910,5765,0.0236,0.0
SQLi,login,4,0.3,1,100.0,0,2,1,3,1,39804,6204,0.0258,0.0
SQLi,login,5,0.3,1,100.0,0,2,2,12,10,54336,7895,0.0344,0.0
SQLi,login,6,0.3,1,100.0,0,2,2,11,11,58479,8470,0.0369,0.55
SQLi,login,7,0.3,1,100.0,0,2,5,63,61,127363,16977,0.0781,0.55
SQLi,login,8,0.3,1,100.0,0,3,3,11,8,51268,7629,0.0327,0.55
SQLi,login,9,0.3,1,100.0,0,2,2,4,2,49734,7849,0.0325,0.0
SQLi,login,10,0.3,1,100.0,0,2,2,4,2,49332,7027,0.031,0.55
SQLi,login,1,0.4,1,100.0,0,2,1,2,0,35914,5734,0.0235,0.0
SQLi,login,2,0.4,0,1.0,288,1,10,30,30,110670,16206,0.0702,0.0
SQLi,login,3,0.4,1,100.0,0,2,2,4,2,46080,6648,0.0291,0.55
SQLi,login,4,0.4,1,100.0,0,2,1,2,0,35759,5782,0.0236,0.45
SQLi,login,5,0.4,1,100.0,0,2,2,4,2,49481,7299,0.0315,0.45
SQLi,login,6,0.4,1,100.0,0,2,2,4,2,44152,6779,0.0285,0.0
SQLi,login,7,0.4,1,100.0,0,2,1,2,0,38508,6274,0.0254,0.55
SQLi,login,8,0.4,1,100.0,0,2,1,2,0,38491,6243,0.0254,0.0
