family,page,strategy,epsilon,seed,iter,generated,valid_n,bypassed_n,num_clusters,retries,rules_added,num_rules,num_hard,block_after_pct_byp,added_fp_pct,uniqueness_pct,attack_in_tokens,attack_out_tokens,defense_in_tokens,defense_out_tokens,rule_eval_s
SQLi,login,PP,,1,0,46,38,33,0,0,12,12,0,100.0,0.00,12.1,2367,339,107135,9061,56.64
SQLi,login,PP,,2,0,50,44,40,0,0,11,11,0,100.0,0.00,27.5,2367,364,130900,11270,54.99
SQLi,login,PP,,3,0,46,34,31,0,0,6,6,0,100.0,0.00,19.4,2367,349,114522,9530,32.99
SQLi,login,PP,,4,0,48,34,28,0,0,6,6,0,100.0,0.00,14.3,2367,365,101705,9287,30.82
SQLi,login,PP,,5,0,50,34,27,0,0,4,4,0,100.0,0.00,33.3,2367,406,102670,8381,24.54
SQLi,login,PP,,6,0,47,43,39,0,0,8,8,0,100.0,0.00,7.7,2367,354,141329,12756,45.17
SQLi,login,PP,,7,0,47,42,39,0,0,11,11,0,100.0,0.00,25.6,2367,385,133598,11183,61.92
SQLi,login,PP,,8,0,48,39,34,0,0,13,13,0,100.0,0.00,38.2,2367,396,107852,8844,69.02
SQLi,login,PP,,9,0,45,34,29,0,0,12,12,0,100.0,0.00,24.1,2367,341,98974,9383,61.44
SQLi,login,PP,,10,0,42,31,27,0,0,12,12,0,100.0,0.05,18.5,2367,344,83376,7338,58.74
SQLi,login,CG,0.3,1,0,44,41,37,1,3,1,1,33,10.8,0.55,10.8,2367,336,3765,267,12.23
SQLi,login,CG,0.3,1,1,50,40,37,4,2,2,3,0,100.0,0.55,37.8,3465,482,2357,180,19.35
SQLi,login,CG,0.3,2,0,49,36,26,2,3,1,1,20,23.1,0.00,26.9,2367,357,3785,284,13.43
SQLi,login,CG,0.3,2,1,50,47,47,4,1,1,2,0,100.0,0.00,29.8,3120,462,1262,101,10.13
SQLi,login,CG,0.3,3,0,46,40,38,2,2,2,2,0,100.0,0.00,18.4,2367,357,2475,185,19.50
SQLi,login,CG,0.3,4,0,47,36,31,2,3,2,2,0,100.0,0.00,35.5,2367,344,3780,300,17.70
SQLi,login,CG,0.3,5,0,46,37,31,3,9,1,1,25,19.4,0.00,9.7,2367,369,10916,902,20.18
SQLi,login,CG,0.3,5,1,50,45,45,4,3,1,2,0,100.0,0.00,24.4,3309,508,4051,275,15.90
SQLi,login,CG,0.3,6,0,47,33,28,2,6,1,1,22,21.4,0.55,21.4,2367,359,7228,590,17.10
SQLi,login,CG,0.3,6,1,50,39,33,5,5,1,2,0,100.0,0.55,66.7,3201,500,6254,644,16.64
SQLi,login,CG,0.3,7,0,43,32,27,1,3,1,1,24,11.1,0.55,7.4,2367,328,3775,312,13.70
SQLi,login,CG,0.3,7,1,50,45,45,3,9,0,1,45,0.0,0.55,15.6,3228,502,10914,864,13.89
SQLi,login,CG,0.3,7,2,50,21,18,2,6,0,1,18,0.0,0.55,66.7,4203,636,7731,621,12.02
SQLi,login,CG,0.3,7,3,51,41,39,12,36,0,1,39,0.0,0.55,76.9,3375,737,42408,3365,48.04
SQLi,login,CG,0.3,7,4,50,50,50,10,9,1,2,0,100.0,0.55,80.0,4584,805,11208,897,20.91
SQLi,login,CG,0.3,8,0,51,35,28,1,3,1,1,25,10.7,0.55,14.3,2367,376,3804,264,13.38
SQLi,login,CG,0.3,8,1,50,31,31,2,6,0,1,31,0.0,0.55,16.1,3327,509,7499,579,11.51
SQLi,login,CG,0.3,8,2,50,45,44,2,2,2,3,0,100.0,0.55,22.7,3726,521,2357,198,18.94
SQLi,login,CG,0.3,9,0,48,30,25,1,3,1,1,17,32.0,0.00,28.0,2367,385,3790,280,12.63
SQLi,login,CG,0.3,9,1,51,41,41,4,1,1,2,0,100.0,0.00,31.7,3060,517,1283,91,10.34
SQLi,login,CG,0.3,10,0,44,38,34,2,3,1,1,19,44.1,0.55,14.7,2367,313,3753,311,17.34
SQLi,login,CG,0.3,10,1,50,46,44,2,1,1,2,0,100.0,0.55,9.1,3066,439,1263,95,12.82
SQLi,search,PP,,1,0,49,49,48,0,0,40,40,0,100.0,0.55,0.0,2487,1977,94018,10531,198.32
SQLi,search,PP,,2,0,50,43,43,0,0,35,35,0,100.0,0.55,2.3,2487,1815,104051,11997,171.10
SQLi,search,PP,,3,0,61,38,38,0,0,26,26,0,100.0,0.55,5.3,2487,2095,103852,11996,131.30
SQLi,search,PP,,4,0,50,49,48,0,0,33,33,0,100.0,0.55,6.2,2487,1867,138366,16053,165.56
SQLi,search,PP,,5,0,50,46,45,0,0,33,33,0,100.0,0.55,20.0,2487,1864,121171,13756,163.89
SQLi,search,PP,,6,0,50,50,49,0,0,37,37,0,100.0,0.55,44.9,2487,1931,113059,12988,186.38
SQLi,search,PP,,7,0,51,49,49,0,0,39,39,0,100.0,0.55,2.0,2487,1989,111371,12763,190.16
SQLi,search,PP,,8,0,51,48,48,0,0,25,25,0,100.0,0.55,14.6,2487,2074,141673,14045,125.03
SQLi,search,PP,,9,0,50,46,46,0,0,30,30,0,100.0,0.55,15.2,2487,1778,125608,12649,152.58
SQLi,search,PP,,10,0,61,47,45,0,0,29,29,0,100.0,0.55,8.9,2487,2026,126377,12826,147.61
SQLi,search,CG,0.3,1,0,55,42,42,3,1,1,1,0,100.0,0.00,21.4,2487,1712,1684,122,12.07
SQLi,search,CG,0.3,2,0,51,47,47,2,1,1,1,0,100.0,0.00,19.1,2487,1813,1663,138,11.43
SQLi,search,CG,0.3,3,0,50,48,48,2,1,1,1,0,100.0,0.00,14.6,2487,1648,1624,117,12.14
SQLi,search,CG,0.3,4,0,50,49,48,1,2,2,2,0,100.0,0.00,14.6,2487,1946,2978,244,16.92
SQLi,search,CG,0.3,5,0,50,49,48,6,1,1,1,0,100.0,0.00,20.8,2487,1890,1713,124,12.81
SQLi,search,CG,0.3,6,0,49,47,46,1,2,2,2,0,100.0,0.00,8.7,2487,1948,2819,237,17.59
SQLi,search,CG,0.3,6,2,50,45,1,1,1,1,3,0,100.0,0.55,100.0,2586,1959,1094,101,11.86
SQLi,search,CG,0.3,7,0,50,46,45,2,1,1,1,0,100.0,0.00,17.8,2487,1954,1707,122,7.96
SQLi,search,CG,0.3,8,0,50,50,49,2,1,1,1,0,100.0,0.00,20.4,2487,1772,1640,138,11.71
SQLi,search,CG,0.3,9,0,50,50,50,2,1,1,1,0,100.0,0.00,10.0,2487,1688,1675,123,11.82
SQLi,search,CG,0.3,10,0,50,45,45,5,1,1,1,0,100.0,0.00,20.0,2487,2008,1719,120,11.71
SQLi,product,PP,,1,0,50,42,41,0,0,21,21,0,100.0,0.55,24.4,2448,1900,125464,13479,112.04
SQLi,product,PP,,2,0,50,48,47,0,0,19,19,0,100.0,0.55,4.3,2448,1846,147038,14929,99.63
SQLi,product,PP,,3,0,52,48,46,0,0,23,23,0,100.0,0.55,15.2,2448,2064,151988,16150,119.56
SQLi,product,PP,,4,0,50,46,46,0,0,23,23,0,100.0,0.55,4.3,2448,2002,146526,15708,127.93
SQLi,product,PP,,5,0,50,43,43,0,0,15,15,0,100.0,0.55,2.3,2448,2019,141423,14972,78.35
SQLi,product,PP,,6,0,49,47,45,0,0,18,18,0,100.0,0.55,4.4,2448,2083,152713,15995,92.37
SQLi,product,PP,,7,0,50,49,49,0,0,29,29,0,100.0,0.55,12.2,2448,2109,131603,14144,147.35
SQLi,product,PP,,8,0,50,49,47,0,0,19,19,0,100.0,0.55,6.4,2448,2094,149055,15350,97.01
SQLi,product,PP,,9,0,50,45,44,0,0,22,22,0,100.0,0.55,15.9,2448,1994,145647,15401,111.62
SQLi,product,PP,,10,0,49,39,37,0,0,10,10,0,100.0,0.55,13.5,2448,2044,129521,13360,54.37
SQLi,product,CG,0.3,1,0,50,40,39,4,2,2,2,0,100.0,0.00,25.6,2448,1859,2804,241,11.11
SQLi,product,CG,0.3,2,0,50,48,48,2,1,1,1,0,100.0,0.00,4.2,2448,1868,1668,120,11.79
SQLi,product,CG,0.3,3,0,50,39,36,6,1,1,1,0,100.0,0.00,22.2,2448,2021,1700,138,11.84
SQLi,product,CG,0.3,4,0,50,47,47,2,1,1,1,0,100.0,0.00,21.3,2448,2000,1332,120,11.13
SQLi,product,CG,0.3,5,0,50,45,44,3,1,1,1,0,100.0,0.00,11.4,2448,2061,1733,122,11.84
SQLi,product,CG,0.3,6,0,49,42,42,3,1,1,1,0,100.0,0.00,16.7,2448,2008,1726,124,11.33
