family,target,page,backend,attack_source_model,shift_type,eps,technique,n_attack_seeds,mean_of_means,sd,median,min,max,pooled_block_rate,blocked_sum,total_sum
SQLi,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,5,87.09,8.18,87.26,78.07,98.83,87.1,17298,19860
SQLi,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Static,5,95.7,2.73,95.75,92.69,99.61,95.7,19006,19860
SQLi,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.2,CG-Adaptive,5,82.79,10.91,83.02,70.76,98.44,82.8,16444,19860
SQLi,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.2,CG-Static,5,65.57,21.82,66.04,41.52,96.87,65.6,13028,19860
SQLi,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.3,CG-Adaptive,5,78.48,13.64,78.77,63.45,98.04,78.5,15590,19860
SQLi,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.3,CG-Static,5,69.88,19.1,70.28,48.83,97.26,69.9,13882,19860
SQLi,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.4,CG-Adaptive,5,87.09,8.18,87.26,78.07,98.83,87.1,17298,19860
SQLi,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.4,CG-Static,5,69.88,19.1,70.28,48.83,97.26,69.9,13882,19860
SQLi,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.5,CG-Adaptive,5,87.09,8.18,87.26,78.07,98.83,87.1,17298,19860
SQLi,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.5,CG-Static,5,69.88,19.1,70.28,48.83,97.26,69.9,13882,19860
SQLi,bwapp,search,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,5,100.0,0.0,100.0,100.0,100.0,100.0,18810,18810
SQLi,bwapp,search,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Static,5,99.7,0.65,100.0,98.54,100.0,99.72,18757,18810
SQLi,bwapp,search,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.2,CG-Adaptive,5,100.0,0.0,100.0,100.0,100.0,100.0,18810,18810
SQLi,bwapp,search,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.2,CG-Static,5,100.0,0.0,100.0,100.0,100.0,100.0,18810,18810
SQLi,bwapp,search,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.3,CG-Adaptive,5,100.0,0.0,100.0,100.0,100.0,100.0,18810,18810
SQLi,bwapp,search,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.3,CG-Static,5,98.86,1.35,99.57,96.56,99.79,98.91,18605,18810
SQLi,bwapp,search,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.4,CG-Adaptive,5,89.97,3.67,89.01,86.42,96.16,89.9,16910,18810
SQLi,bwapp,search,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.4,CG-Static,5,97.71,2.69,99.14,93.12,99.58,97.82,18400,18810
