family,source_application,target,page,attack_seed,generated_raw,backend_valid_raw,crs_bypassing_raw
SQLi,customapp,bwapp,login,1,483,418,414
SQLi,customapp,bwapp,login,2,490,392,381
SQLi,customapp,bwapp,login,3,494,417,396
SQLi,customapp,bwapp,login,4,494,406,393
SQLi,customapp,bwapp,login,5,486,424,415
SQLi,customapp,bwapp,search,1,480,374,374
SQLi,customapp,bwapp,search,2,503,411,401
SQLi,customapp,bwapp,search,3,476,353,348
SQLi,customapp,bwapp,search,4,493,367,354
SQLi,customapp,bwapp,search,5,507,439,430
SQLi,customapp,customapp,filter,1,472,440,429
SQLi,customapp,customapp,filter,2,478,439,417
SQLi,customapp,customapp,filter,3,458,420,399
SQLi,customapp,customapp,filter,4,456,407,393
SQLi,customapp,customapp,filter,5,482,423,408
SQLi,customapp,customapp,login,1,493,349,338
SQLi,customapp,customapp,login,2,495,454,445
SQLi,customapp,customapp,login,3,489,460,452
SQLi,customapp,customapp,login,4,484,421,417
SQLi,customapp,customapp,login,5,494,456,449
SQLi,customapp,customapp,product,1,497,450,430
SQLi,customapp,customapp,product,2,492,459,436
SQLi,customapp,customapp,product,3,496,451,430
SQLi,customapp,customapp,product,4,495,435,414
SQLi,customapp,customapp,product,5,492,426,399
SQLi,customapp,customapp,search,1,478,471,454
SQLi,customapp,customapp,search,2,486,479,462
SQLi,customapp,customapp,search,3,473,470,450
SQLi,customapp,customapp,search,4,481,479,463
SQLi,customapp,customapp,search,5,475,472,448
SQLi,customapp,juice,login,1,456,453,443
SQLi,customapp,juice,login,2,452,450,439
SQLi,customapp,juice,login,3,473,471,419
SQLi,customapp,juice,login,4,458,452,432
SQLi,customapp,juice,login,5,463,456,438
SQLi,customapp,juice,search,1,508,508,488
SQLi,customapp,juice,search,2,502,495,475
SQLi,customapp,juice,search,3,492,486,461
SQLi,customapp,juice,search,4,494,484,468
SQLi,customapp,juice,search,5,509,493,478
XSS,customxss,bwapp,xss_eval,1,494,379,231
XSS,customxss,bwapp,xss_eval,2,447,363,303
XSS,customxss,bwapp,xss_eval,3,490,390,295
XSS,customxss,bwapp,xss_eval,4,512,387,299
XSS,customxss,bwapp,xss_eval,5,497,352,273
XSS,customxss,customxss,calc,1,480,446,401
XSS,customxss,customxss,calc,2,488,452,346
XSS,customxss,customxss,calc,3,482,431,351
XSS,customxss,customxss,calc,4,469,439,398
XSS,customxss,customxss,calc,5,445,422,377
XSS,customxss,customxss,search,1,442,391,336
XSS,customxss,customxss,search,2,430,369,315
XSS,customxss,customxss,search,3,466,373,329
XSS,customxss,customxss,search,4,463,371,338
XSS,customxss,customxss,search,5,443,384,352
