family,source_application,target,page,backend,attack_source_model,shift_type,eps,technique,attack_seed,defense_seed,n_rules,crs_bypass_count,blocked,bypassed,block_rate_pct
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,1,1,4,409,393,16,96.0880
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,1,2,5,409,393,16,96.0880
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,1,3,5,409,409,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,1,4,7,409,409,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,1,5,5,409,393,16,96.0880
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,1,6,7,409,409,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,1,7,5,409,409,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,1,8,5,409,409,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,1,9,7,409,409,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,1,10,10,409,409,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,2,1,4,380,258,122,67.8947
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,2,2,5,380,258,122,67.8947
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,2,3,5,380,380,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,2,4,7,380,380,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,2,5,5,380,258,122,67.8947
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,2,6,7,380,380,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,2,7,5,380,380,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,2,8,5,380,380,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,2,9,7,380,380,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,2,10,10,380,380,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,3,1,4,394,106,288,26.9036
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,3,2,5,394,106,288,26.9036
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,3,3,5,394,394,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,3,4,7,394,394,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,3,5,5,394,106,288,26.9036
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,3,6,7,394,394,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,3,7,5,394,394,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,3,8,5,394,394,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,3,9,7,394,394,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,3,10,10,394,394,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,4,1,4,391,225,166,57.5448
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,4,2,5,391,225,166,57.5448
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,4,3,5,391,391,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,4,4,7,391,391,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,4,5,5,391,225,166,57.5448
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,4,6,7,391,391,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,4,7,5,391,391,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,4,8,5,391,391,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,4,9,7,391,391,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,4,10,10,391,391,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,5,1,4,412,150,262,36.4078
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,5,2,5,412,150,262,36.4078
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,5,3,5,412,412,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,5,4,7,412,412,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,5,5,5,412,150,262,36.4078
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,5,6,7,412,412,0,100.0000
SQLi,customapp,bwapp,login,PHP/MySQL,meta-llama/llama-4-maverick,cross_backend,0.1,CG-Adaptive,5,7,5,412,412,0,100.0000
