family,technique,eps,corpus,n_seeds,mean_fp,sd_fp,max_fp,blocked_sum,total_sum
sqli,CG-Adaptive,0.1,bwapp_login,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Adaptive,0.1,bwapp_search,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Adaptive,0.1,juice_login,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Adaptive,0.1,juice_search,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Adaptive,0.1,csic,10,0.0000,0.0000,0.0000,0,83630
sqli,CG-Adaptive,0.2,bwapp_login,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Adaptive,0.2,bwapp_search,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Adaptive,0.2,juice_login,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Adaptive,0.2,juice_search,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Adaptive,0.2,csic,10,0.0000,0.0000,0.0000,0,83630
sqli,CG-Adaptive,0.3,bwapp_login,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Adaptive,0.3,bwapp_search,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Adaptive,0.3,juice_login,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Adaptive,0.3,juice_search,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Adaptive,0.3,csic,10,0.0000,0.0000,0.0000,0,83630
sqli,CG-Adaptive,0.4,bwapp_login,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Adaptive,0.4,bwapp_search,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Adaptive,0.4,juice_login,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Adaptive,0.4,juice_search,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Adaptive,0.4,csic,10,0.0000,0.0000,0.0000,0,83630
sqli,CG-Adaptive,0.5,bwapp_login,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Adaptive,0.5,bwapp_search,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Adaptive,0.5,juice_login,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Adaptive,0.5,juice_search,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Adaptive,0.5,csic,10,0.0000,0.0000,0.0000,0,83630
sqli,CG-Static,0.1,bwapp_login,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Static,0.1,bwapp_search,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Static,0.1,juice_login,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Static,0.1,juice_search,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Static,0.1,csic,10,0.1495,0.4727,1.4947,125,83630
sqli,CG-Static,0.2,bwapp_login,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Static,0.2,bwapp_search,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Static,0.2,juice_login,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Static,0.2,juice_search,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Static,0.2,csic,10,0.0000,0.0000,0.0000,0,83630
sqli,CG-Static,0.3,bwapp_login,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Static,0.3,bwapp_search,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Static,0.3,juice_login,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Static,0.3,juice_search,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Static,0.3,csic,10,0.0000,0.0000,0.0000,0,83630
sqli,CG-Static,0.4,bwapp_login,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Static,0.4,bwapp_search,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Static,0.4,juice_login,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Static,0.4,juice_search,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Static,0.4,csic,10,0.0000,0.0000,0.0000,0,83630
sqli,CG-Static,0.5,bwapp_login,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Static,0.5,bwapp_search,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Static,0.5,juice_login,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Static,0.5,juice_search,10,0.0000,0.0000,0.0000,0,10000
sqli,CG-Static,0.5,csic,10,0.0000,0.0000,0.0000,0,83630
xss,CG-Adaptive,0.1,bwapp_calc,10,0.0000,0.0000,0.0000,0,20000
xss,CG-Adaptive,0.1,csic,10,0.0000,0.0000,0.0000,0,83630
xss,CG-Adaptive,0.2,bwapp_calc,10,0.0000,0.0000,0.0000,0,20000
xss,CG-Adaptive,0.2,csic,10,0.0000,0.0000,0.0000,0,83630
xss,CG-Adaptive,0.3,bwapp_calc,10,0.0000,0.0000,0.0000,0,20000
xss,CG-Adaptive,0.3,csic,10,0.0000,0.0000,0.0000,0,83630
xss,CG-Adaptive,0.4,bwapp_calc,10,0.0000,0.0000,0.0000,0,20000
xss,CG-Adaptive,0.4,csic,10,0.0000,0.0000,0.0000,0,83630
