family,context,strategy,eps,seed,rule_id,phase,action,transforms,msg,rule_text
SQLi,product,CG-Static,0.1,7,100100,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi DISGUISED-TAUTOLOGY: select case when ... end [op] number,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)?\s*(=|!=|<>|>=|<=|<|>)\s*\d+"" ""id:100100,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi DISGUISED-TAUTOLOGY: select case when ... end [op] number'"""
SQLi,search,CG-Static,0.1,7,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection Disguised Tautology Detected,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection Disguised Tautology Detected'"""
SQLi,login,CG-Static,0.1,7,101414,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection COMMENT-BREAKOUT detected: quote followed by comment or terminator,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx (?:'|\"")\s*(?:--|#|;|/\*)"" ""id:101414,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection COMMENT-BREAKOUT detected: quote followed by comment or terminator'"""
SQLi,filter,CG-Static,0.1,7,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi Disguised Tautology - CASE expression comparison,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi Disguised Tautology - CASE expression comparison'"""
SQLi,product,CG-Static,0.1,6,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection Disguised Tautology Detected,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select case when\b .+? \bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection Disguised Tautology Detected'"""
SQLi,product,CG-Static,0.1,6,100091,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi DISGUISED-TAUTOLOGY: select case when ... end <op> number,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)\s*(=|!=|<>|>=|<=|<|>)\s*\d+"" ""id:100091,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi DISGUISED-TAUTOLOGY: select case when ... end <op> number'"""
SQLi,search,CG-Static,0.1,6,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi Disguised Tautology via select case when ... end comparison,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)?\s*(=|!=|<>|>=|<=|<|>)\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi Disguised Tautology via select case when ... end comparison'"""
SQLi,login,CG-Static,0.1,6,105100,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQL Injection COMMENT-BREAKOUT: quote followed by comment or statement terminator,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx (?:'|\"") ?;|(?:'|\"") ?--|(?:'|\"") ?#|(?:'|\"") ?/\*"" ""id:105100,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQL Injection COMMENT-BREAKOUT: quote followed by comment or statement terminator'"""
SQLi,filter,CG-Static,0.1,6,100001,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi DISGUISED-TAUTOLOGY: select case when ... end compared to number,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select case when\b .+? \bend\b\s*\)\s*[=!<>]{1,2}\s*\d+"" ""id:100001,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi DISGUISED-TAUTOLOGY: select case when ... end compared to number'"""
SQLi,filter,CG-Static,0.1,6,100093,phase:2,deny,t:urlDecodeUni|t:replaceComments|t:compressWhitespace|t:lowercase,SQLi DISGUISED-TAUTOLOGY: select case when ... end <op> number,"SecRule ARGS|REQUEST_URI|QUERY_STRING ""@rx select\s+case\s+when\b.+?\bend\b\s*\)?\s*(=|!=|<>|>=|<=|<|>)\s*\d+"" ""id:100093,t:urlDecodeUni,t:replaceComments,t:compressWhitespace,t:lowercase,phase:2,deny,log,msg:'SQLi DISGUISED-TAUTOLOGY: select case when ... end <op> number'"""
