family,context,strategy,eps,seed,rejected_no_coverage,rejected_other
SQLi,login,CG-Static,0.1,7,0,0
SQLi,product,CG-Static,0.1,7,0,0
SQLi,search,CG-Static,0.1,7,0,0
SQLi,filter,CG-Static,0.1,7,0,0
SQLi,login,CG-Static,0.1,6,0,0
SQLi,product,CG-Static,0.1,6,0,0
SQLi,search,CG-Static,0.1,6,0,0
SQLi,filter,CG-Static,0.1,6,0,0
SQLi,login,CG-Static,0.3,3,0,0
SQLi,product,CG-Static,0.3,3,0,0
SQLi,search,CG-Static,0.3,3,0,0
SQLi,filter,CG-Static,0.3,3,0,0
SQLi,login,CG-Static,0.5,10,0,0
SQLi,product,CG-Static,0.5,10,0,0
SQLi,search,CG-Static,0.5,10,0,0
SQLi,filter,CG-Static,0.5,10,0,0
SQLi,login,CG-Static,0.2,10,0,0
SQLi,product,CG-Static,0.2,10,0,0
SQLi,search,CG-Static,0.2,10,0,0
SQLi,filter,CG-Static,0.2,10,0,0
SQLi,login,CG-Static,0.3,8,0,0
SQLi,product,CG-Static,0.3,8,0,0
SQLi,search,CG-Static,0.3,8,0,0
SQLi,filter,CG-Static,0.3,8,0,0
SQLi,login,CG-Static,0.5,1,0,0
SQLi,product,CG-Static,0.5,1,0,0
SQLi,search,CG-Static,0.5,1,0,0
SQLi,filter,CG-Static,0.5,1,0,0
SQLi,login,CG-Static,0.4,4,0,0
SQLi,product,CG-Static,0.4,4,0,0
SQLi,search,CG-Static,0.4,4,0,0
SQLi,filter,CG-Static,0.4,4,0,0
SQLi,login,CG-Static,0.4,10,0,0
SQLi,product,CG-Static,0.4,10,0,0
SQLi,search,CG-Static,0.4,10,0,0
SQLi,filter,CG-Static,0.4,10,0,0
SQLi,login,CG-Static,0.1,9,0,0
SQLi,product,CG-Static,0.1,9,0,0
SQLi,search,CG-Static,0.1,9,0,0
SQLi,filter,CG-Static,0.1,9,0,0
SQLi,login,CG-Static,0.4,7,0,0
SQLi,product,CG-Static,0.4,7,0,0
SQLi,search,CG-Static,0.4,7,0,0
SQLi,filter,CG-Static,0.4,7,0,0
SQLi,login,CG-Static,0.3,6,0,0
SQLi,product,CG-Static,0.3,6,0,0
SQLi,search,CG-Static,0.3,6,0,0
SQLi,filter,CG-Static,0.3,6,0,0
SQLi,login,CG-Static,0.2,3,0,0
SQLi,product,CG-Static,0.2,3,0,0
SQLi,search,CG-Static,0.2,3,0,0
SQLi,filter,CG-Static,0.2,3,0,0
SQLi,login,CG-Static,0.3,9,0,0
SQLi,product,CG-Static,0.3,9,0,0
SQLi,search,CG-Static,0.3,9,0,0
SQLi,filter,CG-Static,0.3,9,0,0
SQLi,login,CG-Static,0.1,3,0,0
SQLi,product,CG-Static,0.1,3,0,0
SQLi,search,CG-Static,0.1,3,0,0
SQLi,filter,CG-Static,0.1,3,0,0
SQLi,login,CG-Static,0.1,8,0,0
SQLi,product,CG-Static,0.1,8,0,0
SQLi,search,CG-Static,0.1,8,0,0
SQLi,filter,CG-Static,0.1,8,0,0
SQLi,login,CG-Static,0.2,9,0,0
SQLi,product,CG-Static,0.2,9,0,0
SQLi,search,CG-Static,0.2,9,0,0
SQLi,filter,CG-Static,0.2,9,0,0
SQLi,login,CG-Static,0.3,10,0,0
SQLi,product,CG-Static,0.3,10,0,0
SQLi,search,CG-Static,0.3,10,0,0
SQLi,filter,CG-Static,0.3,10,0,0
SQLi,login,CG-Static,0.4,3,0,0
SQLi,product,CG-Static,0.4,3,0,0
SQLi,search,CG-Static,0.4,3,0,0
SQLi,filter,CG-Static,0.4,3,0,0
SQLi,login,CG-Static,0.2,6,0,0
SQLi,product,CG-Static,0.2,6,0,0
SQLi,search,CG-Static,0.2,6,0,0
SQLi,filter,CG-Static,0.2,6,0,0
